,Planet Name,Discovery Year,Orbital Period (days),Orbital Radius,Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Density,Equilibrium Temperature [K],Transit Duration [hours],Star luminosity
30,55 Cnc e,2004,0.7365474,0.01544,1.875,7.99,6.66,1958.0,1.555016,-0.197
47,AU Mic b,2020,8.4629991,0.0645,4.07,20.12,1.32,593.0,3.5738006,-0.99
48,AU Mic c,2021,18.858991,0.1101,3.24,9.6,1.22,454.0,4.42,-0.99
83,CoRoT-1 b,2008,1.5089557,0.02752,16.7,327.35,0.38,1898.0,2.373,0.298
84,CoRoT-10 b,2010,13.2406,0.1055,10.87,874.0,3.7,600.0,2.98,-0.726
85,CoRoT-11 b,2010,2.99433,0.0436,16.03,740.51,0.99,1657.0,2.5009,0.378
86,CoRoT-12 b,2010,2.828042,0.04016,16.14,291.438,0.411,1442.0,2.57424,0.07
87,CoRoT-13 b,2010,4.03519,0.051,9.92,415.704,2.34,1700.0,3.14,0.073
88,CoRoT-14 b,2010,1.51214,0.027,12.22,2415.4,7.3,1952.0,1.662,0.119
90,CoRoT-17 b,2011,3.7681,0.0461,11.43,772.29,2.82,1626.0,4.72001,0.134
91,CoRoT-18 b,2011,1.9000693,0.0295,14.68,1102.82,2.2,1550.0,2.387,-0.17
92,CoRoT-19 b,2011,3.89713,0.0518,14.46,352.78,0.71,2000.0,4.7,0.544
93,CoRoT-2 b,2008,1.7429935,0.02798,16.432,1102.82,1.47,1521.0,2.26704,-0.131
94,CoRoT-20 b,2011,9.24285,0.09,9.416,1366.669,8.87,1024.0,2.2248,0.17
97,CoRoT-22 b,2014,9.75598,0.092,4.88,12.2,0.249,885.0,4.492,0.014
98,CoRoT-23 b,2011,3.6313,0.048,11.77,889.9,3.0,1660.0,3.888,0.087
99,CoRoT-24 b,2014,5.1134,0.056,3.7,5.7,0.9,1070.0,2.85,-0.601
100,CoRoT-24 c,2014,11.759,0.098,5.0,28.0,1.3,850.0,4.8,-0.601
101,CoRoT-25 b,2013,4.86069,0.0578,12.11,85.81,0.15,1330.0,1.92,0.141
102,CoRoT-26 b,2013,4.20474,0.0526,14.12,165.26,0.28,1600.0,5.47,0.451
103,CoRoT-27 b,2014,3.57532,0.0476,11.287,3302.11,12.6,1500.0,2.77,-0.166
106,CoRoT-3 b,2008,4.2568,0.05783,11.32,6883.91,26.4,1695.0,3.384,0.391
109,CoRoT-35 b,2022,3.22748,0.0429,18.831,349.61125,0.29,1747.0,4.19,0.362
110,CoRoT-36 b,2022,5.616531,0.066,15.805,216.12332,0.25,1567.0,4.98,0.813
111,CoRoT-4 b,2008,9.20205,0.09,13.34,228.83,0.525,1074.0,4.4317333,0.185
112,CoRoT-5 b,2009,4.0378962,0.04947,15.558,148.42,0.217,1438.0,2.9331124,0.18
113,CoRoT-6 b,2009,8.886593,0.0855,13.068,940.74,2.32,1017.0,4.08,0.026
114,CoRoT-7 b,2009,0.85359163,0.017016,1.681,4.07661,9.355,1756.0,1.059,-0.289
117,CoRoT-8 b,2010,6.21229,0.063,6.39,69.92,1.6,870.0,2.74,-0.4
118,CoRoT-9 b,2009,95.272656,0.4021,11.949,266.9772,0.86,420.0,8.268,-0.254
119,CoRoTID 223977153 b,2017,6.71837,0.071,6.389,47.6745,1.1,938.0,2.496,-0.155
152,EPIC 211822797 b,2016,21.1701963,0.1195,1.92,4.35,3.38,431.0,3.576,-1.153
153,EPIC 211945201 b,2018,19.49221,0.1493,5.76,27.0,0.65,817.0,3.91,0.373
162,EPIC 212737443 b,2019,13.603,0.098,2.586,7.2,2.29,536.0,2.976,-0.751
163,EPIC 212737443 c,2019,65.55,0.28,2.69,7.7,2.17,316.0,4.608,-0.804
166,EPIC 220674823 b,2016,0.571292,0.01326,1.725,8.21,8.77,2300.0,1.532,-0.119
167,EPIC 220674823 c,2016,13.3397,0.1083,2.836,8.9,2.12,805.0,3.4392,-0.119
169,EPIC 229004835 b,2023,16.141132,0.1237,2.332,10.4,4.49,804.0,2.1,0.03
170,EPIC 246851721 b,2018,6.180235,0.07229,11.781,953.49,3.1,1401.0,4.10808,0.526
172,EPIC 249893012 b,2020,3.5951,0.047,1.95,8.75,6.39,1616.0,4.33,0.356
173,EPIC 249893012 c,2020,15.624,0.13,3.67,14.67,1.62,990.0,6.37,0.356
174,EPIC 249893012 d,2020,35.747,0.22,3.94,10.18,0.91,752.0,9.56,0.356
184,GJ 1132 b,2015,1.628931,0.0153,1.13,1.66,6.3,529.0,0.809276,-2.359
189,GJ 1214 b,2009,1.58040433,0.0149,2.742,8.17,2.2,596.0,0.8688,-2.337
190,GJ 1252 b,2020,0.5182331,0.00915,1.193,1.32,4.2,1089.0,0.724,-1.708
192,GJ 143 b,2019,35.61253,0.1915,2.61,22.7,7.0,422.0,3.23,-0.686
214,GJ 3090 b,2022,2.853136,0.03165,2.13,3.34,1.89,693.0,1.281,-1.342
231,GJ 3470 b,2012,3.3366496,0.0355,4.57,13.9,0.8,594.0,1.8984,-1.538
232,GJ 3473 b,2020,1.1980035,0.01589,1.264,1.86,5.03,773.0,0.95,-1.824
236,GJ 357 b,2019,3.9306,0.036,1.2,1.84,5.6,518.0,1.291,-1.798
240,GJ 367 b,2021,0.3219225,0.00709,0.699,0.633,10.2,1365.0,0.629,-1.539
244,GJ 3929 b,2022,2.616235,0.0252,1.09,1.75,7.3,568.0,1.19,-1.963
259,GJ 436 b,2004,2.64388312,0.0291,4.17,22.1,1.8,686.0,1.00536,-1.585
262,GJ 486 b,2021,1.467119,0.01734,1.305,2.82,7.0,701.0,1.0069313,-1.917
306,GJ 9827 b,2017,1.2089819,0.0188,1.577,5.14,7.19,1175.0,1.25976,-0.942
307,GJ 9827 c,2017,3.648096,0.03925,1.241,1.3,3.7,813.0,1.8264,-0.942
308,GJ 9827 d,2017,6.20147,0.0559,2.022,3.53,2.34,681.0,1.2264,-0.942
309,GPX-1 b,2021,1.744579,0.0338,16.477,6261.21962,8.222423,2300.0,2.09,0.727
314,Gaia-2 b,2022,3.6915224,0.0467,14.818,259.66581,0.439,1213.0,2.720758,0.057
318,HAT-P-1 b,2006,4.46529976,0.05561,14.785,166.86075,0.282,1322.0,2.85,0.225
319,HAT-P-11 b,2008,4.88780244,0.05254,4.36,26.69772,1.68,838.0,2.36386,-0.567
321,HAT-P-12 b,2009,3.2130598,0.0384,10.749,67.059,0.3192,963.0,2.3376,-0.678
322,HAT-P-13 b,2009,2.91625,0.04383,14.258,270.462,0.362,1740.0,3.28681,0.346
324,HAT-P-14 b,2010,4.62767,0.0596,15.917,1093.3352,1.56,1624.0,2.1888,0.644
325,HAT-P-15 b,2010,10.8635,0.0965,11.882,616.5902,1.96,904.0,5.484,0.0
326,HAT-P-16 b,2010,2.77596,0.0413,14.448,1332.605,2.42,1626.0,3.0624,0.294
327,HAT-P-17 b,2010,10.33852,0.0882,11.769,184.3414,0.64,792.0,4.056,-0.289
329,HAT-P-18 b,2010,5.508023,0.0559,11.153,62.61,0.25,852.0,2.7144,-0.569
330,HAT-P-19 b,2010,4.008778,0.0466,12.689,92.802,0.25,1010.0,2.8368,-0.432
331,HAT-P-2 b,2007,5.6335158,0.06814,12.663,2866.81223,7.29,1540.0,4.2342162,0.53
333,HAT-P-20 b,2010,2.875317,0.0361,9.718,2302.899,13.78,970.0,1.848,-0.721
334,HAT-P-21 b,2010,4.12448,0.0494,12.442,1547.8321,4.6,1283.0,3.672,0.025
335,HAT-P-22 b,2010,3.21222,0.0414,12.89,785.0401,2.14,1463.0,2.655,-0.114
336,HAT-P-23 b,2010,1.212884,0.0232,15.334,664.237,1.01,2056.0,2.1792,0.199
337,HAT-P-24 b,2010,3.35524,0.04651,14.572,238.3725,0.44,1637.0,3.694,0.408
338,HAT-P-25 b,2010,3.65281514,0.0466,12.722,180.84527,0.483,1182.0,2.81304,-0.152
339,HAT-P-26 b,2010,4.23452,0.0479,7.062,22.2481,0.4,1001.0,2.4552,-0.359
340,HAT-P-27 b,2011,3.039577,0.04,11.43,197.05,0.76,1092.0,1.68,-0.269
341,HAT-P-28 b,2011,3.257215,0.0434,13.585,198.953,0.44,1384.0,3.2184,0.053
342,HAT-P-29 b,2011,5.72319,0.0667,13.115,279.6904,0.79,1271.0,3.8928,0.272
343,HAT-P-3 b,2007,2.8997,0.03866,10.536,206.5895,0.855,1189.0,2.087,-0.36
344,HAT-P-30 b,2011,2.8106,0.0419,16.141,263.7989,0.309,1630.0,2.1288,0.312
345,HAT-P-31 b,2011,5.00542,0.061,12.218,721.4741,2.18,1450.0,4.9057646,0.433
346,HAT-P-32 b,2011,2.1500082,0.03397,22.194,216.1244,0.108,1836.0,3.12048,0.338
347,HAT-P-33 b,2011,3.47447,0.04995,20.737,292.4036,0.2,1782.0,4.4136,0.618
348,HAT-P-34 b,2011,5.452654,0.06774,13.417,1058.3739,2.5,1520.0,3.1752,0.6
349,HAT-P-35 b,2011,3.646706,0.04978,14.93,335.62848,0.55,1581.0,3.936,0.383
350,HAT-P-36 b,2011,1.32734683,0.0241,14.314,587.41341,1.175,1781.0,2.232,0.022
351,HAT-P-37 b,2011,2.797436,0.0379,13.204,371.528,0.89,1271.0,2.3304,-0.208
352,HAT-P-38 b,2012,4.640382,0.0523,9.247,84.857,0.59,1082.0,3.0408,-0.208
353,HAT-P-39 b,2012,3.54387,0.0509,17.609,190.372,0.19,1752.0,4.188,0.607
354,HAT-P-4 b,2007,3.056536,0.04438,14.28,213.255,0.403,1686.0,4.224,0.431
355,HAT-P-40 b,2012,4.45724,0.0608,17.038,152.5584,0.15,1770.0,6.1368,0.778
356,HAT-P-41 b,2012,2.69405,0.04258,22.978,378.2177,0.204,1941.0,3.6552,0.628
357,HAT-P-42 b,2012,4.641878,0.0575,14.348,331.801,0.61,1428.0,4.0344,0.356
358,HAT-P-43 b,2012,3.3326414,0.0444,13.63,210.395,0.39,1353.0,3.136,0.06
359,HAT-P-44 b,2014,4.301219,0.0507,13.922,111.871,0.23,1108.0,3.1248,-0.194
361,HAT-P-45 b,2014,3.128992,0.0452,15.984,283.492,0.38,1652.0,3.4464,0.4
362,HAT-P-46 b,2014,4.463129,0.0577,14.392,156.684,0.28,1458.0,3.0984,0.391
363,HAT-P-49 b,2014,2.69155,0.04378,17.822,699.226,0.75,2131.0,4.2401266,0.814
364,HAT-P-5 b,2007,2.78849,0.04073,13.563,311.4734,0.642,1539.0,2.9462464,0.187
365,HAT-P-50 b,2015,3.1220109,0.0453,14.437,429.0705,0.78,1862.0,3.6744,0.603
366,HAT-P-51 b,2015,4.2180278,0.05069,14.493,98.20947,0.178,1192.0,3.3672,-0.066
367,HAT-P-52 b,2015,2.7535953,0.03694,11.31,259.98494,0.98,1218.0,2.4072,-0.305
368,HAT-P-53 b,2015,1.9616241,0.03159,14.773,471.65972,0.8,1778.0,2.7936,0.217
369,HAT-P-54 b,2015,3.799847,0.04117,10.581,241.5508,1.118,818.0,1.428,-0.902
370,HAT-P-55 b,2015,3.5852467,0.04604,13.249,184.97706,0.435,1313.0,2.9352,0.064
371,HAT-P-56 b,2015,2.79083,0.0423,16.926,734.1873,0.75,1840.0,2.27112,0.553
372,HAT-P-57 b,2015,2.4653,0.0406,19.504,448.1403,0.332,2200.0,3.49872,0.806
373,HAT-P-58 b,2021,4.0138379,0.04994,14.93,118.23217,0.194,1622.0,4.15,0.456
374,HAT-P-59 b,2021,4.1419771,0.05064,12.588,489.45575,1.347,1278.0,2.339,0.054
375,HAT-P-6 b,2007,3.85298,0.05239,16.589,419.5356,0.558,1675.0,3.5064,0.553
376,HAT-P-60 b,2021,4.7947813,0.06277,18.282,182.43351,0.164,1772.0,5.035,0.809
377,HAT-P-61 b,2021,1.90231289,0.0301,10.077,335.94463,1.8,1505.0,1.658,-0.115
378,HAT-P-62 b,2021,2.6453235,0.03772,12.027,241.86742,0.77,1512.0,3.103,0.091
379,HAT-P-63 b,2021,3.377728,0.04294,12.543,195.14664,0.54,1237.0,2.933,-0.146
380,HAT-P-64 b,2021,4.007232,0.05387,19.089,184.34048,0.144,1766.0,4.925,0.668
381,HAT-P-65 b,2016,2.6054552,0.03951,21.185,167.49641,0.096,1930.0,4.3656,0.555
382,HAT-P-66 b,2016,2.972086,0.04363,17.822,248.86089,0.242,1896.0,4.6992,0.615
383,HAT-P-67 b,2017,4.8101025,0.06505,23.371,108.0622,0.052,1903.0,6.9888,0.939
384,HAT-P-68 b,2020,2.29840551,0.02996,12.016,230.10892,0.727,1028.0,2.0868,-0.779
385,HAT-P-69 b,2019,4.7869491,0.06555,18.786,1137.8314,1.02,1930.0,5.1264,1.0
386,HAT-P-7 b,2008,2.20474,0.03676,16.926,584.8072,0.712,2733.0,3.88216,0.814
387,HAT-P-70 b,2019,2.74432452,0.04739,20.961,2154.8874,1.54,2562.0,3.48,1.223
388,HAT-P-8 b,2008,3.07634,0.04496,15.693,406.8224,0.568,1700.0,3.9016058,0.519
389,HAT-P-9 b,2008,3.92281072,0.05287,15.614,238.05467,0.342,1540.0,3.36,0.418
390,HATS-1 b,2012,3.446459,0.0444,14.594,589.55,1.03,1359.0,2.4168,0.041
391,HATS-10 b,2015,3.312846,0.04491,10.862,167.17858,0.7,1407.0,3.0072,0.117
392,HATS-11 b,2016,3.619188,0.0507,18.03,263.7989,0.315,1596.0,4.36848,0.403
393,HATS-12 b,2016,3.142702,0.0441,7.76,759.6137,1.12,1446.0,4.52376,0.863
394,HATS-13 b,2015,3.0440499,0.04057,13.585,172.58169,0.377,1244.0,2.63472,-0.321
395,HATS-14 b,2015,2.7667641,0.03815,11.646,340.39593,1.191,1276.0,2.64216,-0.173
396,HATS-15 b,2016,1.74748753,0.02712,12.386,689.6911,1.97,1505.0,2.26968,-0.204
397,HATS-16 b,2016,2.686502,0.03744,14.572,1039.3041,1.86,1592.0,2.6208,0.173
398,HATS-17 b,2016,16.254611,0.1308,8.709,425.25654,3.5,814.0,4.8264,0.093
399,HATS-18 b,2016,0.83784,0.0174,14.897,629.14449,1.1169,2069.0,1.944,-0.032
400,HATS-2 b,2013,1.354133,0.023,13.092,427.463,1.05,1577.0,2.0688,-0.268
401,HATS-22 b,2017,4.7228124,0.05025,10.682,870.8542,3.89,858.0,2.1912,-0.646
402,HATS-23 b,2017,2.1605156,0.03397,20.849,467.2101,0.29,1654.0,1.8048,0.155
403,HATS-24 b,2017,1.3484978,0.0238,15.637,718.2958,1.03,2166.0,2.4052414,0.19
404,HATS-25 b,2016,4.2986432,0.05163,14.123,194.82979,0.38,1277.0,3.204,0.068
405,HATS-26 b,2016,3.3023881,0.04735,19.616,206.5895,0.153,1918.0,5.2152,0.704
406,HATS-27 b,2016,4.637038,0.0611,16.814,168.4499,0.18,1659.0,4.8312,0.669
407,HATS-28 b,2016,3.1810781,0.04131,13.384,213.58176,0.48,1253.0,2.3544,-0.157
408,HATS-29 b,2016,4.6058749,0.05475,14.022,207.54299,0.411,1212.0,3.2112,0.029
409,HATS-3 b,2013,3.547851,0.0485,15.48,340.382,0.51,1648.0,3.5856,0.456
410,HATS-30 b,2016,3.1743516,0.04354,13.171,224.38798,0.543,1414.0,2.7504,0.097
411,HATS-31 b,2016,3.37796,0.0478,18.383,279.6904,0.243,1823.0,4.5936,0.619
412,HATS-32 b,2016,2.8126548,0.04024,14.0,292.4036,0.58,1437.0,2.8536,0.057
413,HATS-33 b,2016,2.5495551,0.03727,13.787,378.85336,0.79,1429.0,2.676,-0.018
414,HATS-34 b,2016,2.1061607,0.03166,16.029,299.07803,0.4,1445.0,1.5552,-0.14
415,HATS-35 b,2016,1.8209993,0.03199,16.41,388.38826,0.484,2037.0,3.1176,0.465
416,HATS-36 b,2018,4.175186,0.0523,12.92,1022.14128,2.12,1203.0,3.3792,0.215
417,HATS-37 A b,2020,4.3315366,0.04913,6.793,31.46517,0.55,1085.0,2.9136,-0.256
418,HATS-38 b,2020,4.375021,0.05036,6.882,23.51942,0.403,1294.0,3.216,0.072
419,HATS-39 b,2018,4.5776348,0.06007,17.598,200.2329,0.202,1645.0,3.732,0.64
420,HATS-4 b,2014,2.516729,0.0362,11.433,420.471,1.55,1315.0,2.5272,-0.187
421,HATS-40 b,2018,3.2642736,0.04997,17.71,505.3497,0.49,2101.0,5.3304,0.903
422,HATS-41 b,2018,4.193649,0.0583,14.908,3082.951,5.1,1710.0,2.196,0.653
423,HATS-42 b,2018,2.292102,0.03689,15.693,597.5204,0.83,1856.0,3.2664,0.425
424,HATS-43 b,2018,4.3888497,0.04944,13.227,82.95363,0.191,1003.0,2.98848,-0.398
425,HATS-44 b,2018,2.7439004,0.03649,11.96,177.9848,0.56,1161.0,1.6512,-0.398
426,HATS-45 b,2018,4.1876244,0.05511,14.415,222.481,0.41,1518.0,3.0456,0.425
427,HATS-46 b,2018,4.7423729,0.05367,10.122,54.98459,0.28,1054.0,2.4336,-0.23
428,HATS-47 b,2020,3.9228038,0.04269,12.52,117.27927,0.331,853.0,2.00232,-0.796
429,HATS-48 A b,2020,3.1316666,0.03769,8.967,77.23269,0.589,955.0,2.34576,-0.709
430,HATS-49 b,2020,4.1480467,0.04515,8.575,112.19399,0.986,835.0,2.346,-0.785
431,HATS-5 b,2014,4.763387,0.0542,10.223,75.323,0.39,1025.0,2.9856,-0.268
433,HATS-51 b,2017,3.3488702,0.04639,15.805,244.09344,0.34,1553.0,3.3216,0.31
434,HATS-52 b,2017,1.36665436,0.02498,15.491,711.9392,1.06,1834.0,2.0904,0.068
435,HATS-53 b,2017,3.8537768,0.04753,15.02,189.10885,0.303,1312.0,3.5064,0.045
436,HATS-54 b,2019,2.5441765,0.037,11.377,239.32479,0.77,1429.0,2.468,0.115
437,HATS-55 b,2019,4.2042001,0.05412,14.022,292.72143,0.587,1367.0,2.78376,0.229
438,HATS-56 b,2019,4.324799,0.06043,18.921,191.33366,0.155,1902.0,4.6416,0.898
439,HATS-57 b,2019,2.350621,0.03493,12.767,1000.21101,2.65,1413.0,2.48856,-0.094
440,HATS-58 A b,2019,4.2180896,0.05798,12.274,327.3649,0.96,1721.0,3.18,0.689
441,HATS-59 b,2018,5.416081,0.06112,12.621,256.17098,0.7,1128.0,3.5928,-0.004
443,HATS-6 b,2015,3.3252725,0.03623,11.187,101.38777,0.399,713.0,2.04096,-1.1
444,HATS-60 b,2018,3.560829,0.04708,12.924,210.40346,0.537,1528.0,3.8592,0.3
445,HATS-61 b,2018,7.817953,0.07908,13.395,1080.622,2.47,1226.0,5.5296,0.369
446,HATS-62 b,2018,3.2768837,0.04163,11.825,56.89157,0.076,1237.0,2.76528,-0.173
447,HATS-63 b,2018,3.0566527,0.04026,13.529,305.1168,0.67,1398.0,2.448,0.012
448,HATS-64 b,2018,4.908897,0.06562,18.82,305.1168,0.245,1793.0,5.8056,0.867
449,HATS-65 b,2018,3.105161,0.04497,16.825,260.93843,0.3,1634.0,2.8848,0.377
450,HATS-66 b,2018,3.1414391,0.04714,15.816,1694.0339,2.34,1998.0,4.5432,0.767
451,HATS-67 b,2018,1.6091788,0.03032,18.887,460.8535,0.374,2193.0,1.9464,0.547
452,HATS-68 b,2018,3.5862202,0.05071,13.809,410.0007,0.856,1741.0,3.42,0.592
453,HATS-69 b,2018,2.2252577,0.03211,10.593,183.38791,0.46,1296.0,2.35776,-0.318
454,HATS-7 b,2015,3.185315,0.04012,6.311,38.1396,0.83,1084.0,2.2992,-0.434
455,HATS-70 b,2019,1.8882378,0.03632,15.513,4100.007,6.64,2730.0,3.624,1.079
456,HATS-71 b,2020,3.7955202,0.03745,11.478,117.5971,0.42,587.0,2.0148,-1.56
457,HATS-72 b,2020,7.3279474,0.066517,8.097,39.85588,0.411,739.0,3.08472,-0.659
458,HATS-74 A b,2021,1.73185606,0.02384,11.568,464.02947,1.64,895.0,1.65336,-1.216
459,HATS-75 b,2021,2.7886556,0.032742,9.909,156.05375,0.878,772.0,1.91256,-1.197
460,HATS-76 b,2021,1.9416423,0.02658,12.094,835.57088,2.58,940.0,1.8576,-1.038
461,HATS-77 b,2021,3.0876262,0.03607,13.058,436.69623,1.077,828.0,2.22768,-0.992
462,HATS-8 b,2015,3.583893,0.04667,9.785,43.86054,0.259,1324.0,3.0312,-0.025
463,HATS-9 b,2015,1.915291,0.0312,13.85,266.02371,0.626,1746.0,3.50832,0.312
495,HD 106315 b,2017,9.55237,0.0907,2.44,12.6,4.7,1153.0,3.775,0.35
496,HD 106315 c,2017,21.05704,0.1536,4.35,15.2,1.01,886.0,4.638,0.395
505,HD 108236 b,2020,3.795963,0.04527,1.615,3.24,4.23,1099.0,2.384,-0.15
506,HD 108236 c,2020,6.203449,0.062,2.071,4.94,3.06,932.0,2.86,-0.15
507,HD 108236 d,2020,14.175685,0.1074,2.539,6.98,2.34,708.0,3.85,-0.15
508,HD 108236 e,2020,19.590025,0.1367,3.083,9.71,1.82,636.0,4.2,-0.15
524,HD 110082 b,2021,10.18271,0.113,3.2,10.3,1.73,957.0,2.91,0.281
525,HD 110113 b,2021,2.541,0.035,2.05,4.55,2.9,1371.0,2.376,-0.032
559,HD 118203 b,2005,6.1335,0.07,13.138,886.7457,2.15,1509.0,5.661,0.646
602,HD 136352 b,2019,11.57797,0.0964,1.664,4.72,5.623888,905.0,3.935,0.016
603,HD 136352 c,2019,27.59221,0.1721,2.916,11.24,2.497668,677.0,3.251,0.016
604,HD 136352 d,2019,107.245,0.425,2.562,8.82,2.878108,431.0,8.87,0.016
609,HD 137496 b,2021,1.62116,0.02732,1.31,4.04,10.49,2130.0,3.28,0.366
617,HD 1397 b,2018,11.53533,0.1097,11.5,131.89945,0.477,1228.0,8.6016,0.66
653,HD 149026 b,2005,2.87589,0.04364,8.295,120.7754,0.75,1626.0,3.2828197,0.48
663,HD 152843 b,2021,11.6264,0.1053,3.41,11.56,1.58,1003.0,5.53,0.45
665,HD 15337 b,2019,4.75615,0.0522,1.64,7.51,9.3,1001.0,2.49,-0.326
666,HD 15337 c,2019,17.1784,0.1268,2.39,8.11,3.23,642.0,2.25,-0.326
696,HD 15906 b,2023,10.924709,0.09,2.24,5.65,2.76,668.0,1.8,-0.569
697,HD 15906 c,2023,21.583298,0.141,2.93,8.91,1.95,532.0,2.19,-0.569
743,HD 17156 b,2007,21.21663,0.16278,12.33,1115.5833,3.78,883.0,3.1435,0.39
773,HD 183579 b,2021,17.471278,0.1334,3.55,19.7,2.39,769.0,4.36,0.012
780,HD 18599 b,2022,4.1374354,0.048,2.6,24.1,7.5,863.0,2.06,-0.429
789,HD 189733 b,2005,2.21857567,0.03126,12.666,359.1479,0.943,1209.0,1.8233621,-0.461
797,HD 191939 b,2020,8.8803256,0.0804,3.41,10.0,1.4,880.0,2.939,-0.187
798,HD 191939 c,2020,28.579743,0.1752,3.195,8.0,1.35,600.0,4.162,-0.187
799,HD 191939 d,2020,38.353037,0.2132,2.995,2.8,0.57,540.0,5.36,-0.187
823,HD 202772 A b,2019,3.308958,0.05208,17.318,323.23311,0.343,2132.0,5.6304,0.971
825,HD 20329 b,2022,0.926118,0.018,1.72,7.42,8.06,2141.0,1.26,0.049
839,HD 207496 b,2023,6.441008,0.0629,2.25,6.1,3.17,743.0,1.762,-0.509
847,HD 207897 b,2021,16.202159,0.1163,2.501,14.4,5.05,632.0,2.911,-0.444
856,HD 209458 b,1999,3.52474859,0.04707,15.581,232.0159,0.362,1459.0,3.072,0.231
868,HD 213885 b,2019,1.008035,0.02012,1.745,8.83,9.15,2128.0,1.5024775,0.139
888,HD 21749 c,2019,7.78993,0.0695,0.892,3.7,31.93,701.0,2.515,-0.686
894,HD 219134 b,2015,3.092926,0.03876,1.602,4.74,6.34,1015.0,0.945,-0.577
895,HD 219134 c,2015,6.76458,0.0653,1.511,4.36,6.95,782.0,1.66,-0.577
902,HD 219666 b,2018,6.04345,0.104,4.24,16.6,0.87,838.0,2.028,-0.028
911,HD 221416 b,2019,14.2767,0.1228,9.17,60.5,0.431,789.0,8.6972718,0.712
922,HD 22946 d,2023,47.42489,0.2958,2.607,26.57,10.8,546.0,6.482,0.209
928,HD 23472 b,2019,17.667087,0.1162,2.0,8.32,6.15,543.0,2.67,-0.625
929,HD 23472 c,2019,29.79749,0.1646,1.87,3.41,3.1,467.0,2.94,-0.625
930,HD 23472 d,2022,3.97664,0.04298,0.75,0.55,7.5,909.0,1.99,-0.625
931,HD 23472 e,2022,7.90754,0.068,0.818,0.72,7.5,723.0,2.48,-0.625
932,HD 23472 f,2022,12.1621839,0.0906,1.137,0.77,3.0,630.0,2.82,-0.625
933,HD 235088 b,2023,7.4341393,0.072,2.045,4.84,3.11,805.0,2.7,-0.443
948,HD 260655 b,2022,2.76953,0.02933,1.24,2.14,6.2,709.0,1.15,-1.44
949,HD 260655 c,2022,5.70588,0.04749,1.533,3.09,4.7,557.0,0.98,-1.44
952,HD 2685 b,2019,4.12688,0.0568,16.141,371.8611,0.486,2061.0,4.52,0.668
960,HD 28109 b,2022,22.89104,0.1357,2.199,18.496,9.56,881.0,5.392,0.456
961,HD 28109 c,2022,56.00819,0.308,4.23,7.943,0.577,585.0,8.973,0.456
962,HD 28109 d,2022,84.25999,0.411,3.25,5.681,0.909,506.0,10.13,0.456
984,HD 3167 b,2016,0.959641,0.01796,1.67,4.97,5.6,1774.0,1.609,-0.27
985,HD 3167 c,2016,29.8454,0.1776,3.0,11.13,2.11,564.0,4.869,-0.27
995,HD 332231 b,2020,18.71204,0.1436,9.718,77.55052,0.464,876.0,6.156,0.305
1071,HD 5278 b,2021,14.339156,0.1202,2.45,7.8,2.9,943.0,4.8,0.28
1079,HD 56414 b,2022,29.04992,0.229,3.71,13.3,1.43,1133.0,7.58,1.158
1090,HD 63433 b,2020,7.10793,0.0719,2.15,5.27,2.91,886.0,3.216,-0.123
1091,HD 63433 c,2020,20.5453,0.1458,2.67,7.61,2.2,622.0,4.068,-0.123
1128,HD 73583 b,2022,6.39805,0.072,2.49,10.2,2.58,655.0,2.069,-0.76
1129,HD 73583 c,2022,18.87974,0.1242,2.39,9.7,3.88,498.0,3.67,-0.76
1148,HD 80606 b,2001,111.4367,0.4565,11.994,1392.0954,5.08,405.0,11.9,-0.002
1149,HD 80653 b,2020,0.719573,0.01661,1.613,5.72,7.47,2463.0,1.7976,0.24
1170,HD 86226 c,2020,3.98442,0.049,2.16,7.25,3.97,1311.0,3.12,0.072
1179,HD 89345 b,2018,11.8143,0.1066,7.398,34.9613,0.471,1089.0,5.7336,0.425
1192,HD 93963 A b,2022,1.0391353,0.02085,1.35,7.8,17.4,2042.0,1.812,0.098
1193,HD 93963 A c,2022,3.6451398,0.04813,3.228,19.2,3.14,1344.0,2.268,0.098
1202,HD 95338 b,2020,55.087,0.262,3.89,42.44,3.98,385.0,5.709,-0.31
1215,HD 97658 b,2010,9.4897116,0.0805,2.12,8.3,4.8,751.0,2.8488,-0.455
1230,HIP 113103 b,2023,7.610303,0.06899,1.829,4.0,3.59,721.0,2.1384,-0.576
1231,HIP 113103 c,2023,14.245648,0.10479,2.4,6.35,2.52,585.0,4.2336,-0.576
1240,HIP 29442 b,2023,13.63083,0.107,3.48,9.6,1.3,777.0,4.3426564,-0.155
1267,HIP 65 A b,2020,0.9809734,0.01782,22.754,1021.18779,0.48,1411.0,0.78576,-0.678
1292,HIP 9618 b,2023,20.772907,0.1438,3.9,10.0,0.926,663.0,4.913,-0.075
1294,HIP 97166 b,2021,10.28891,0.089,2.74,20.0,5.3,757.0,1.472,-0.331
1303,HR 858 b,2019,3.58599,0.048,2.085,5.0,3.03,1572.0,2.7096,0.371
1304,HR 858 c,2019,5.97293,0.0674,1.939,4.42,3.33,1326.0,2.9016,0.371
1305,HR 858 d,2019,11.23,0.1027,2.164,5.32,2.88,1075.0,3.4344,0.371
