,Planet Name,Discovery Year,Orbital Period (days),Orbital Radius,Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Density,Equilibrium Temperature [K],Transit Duration [hours],Star luminosity
5014,TOI-1680 b,2023,4.8026345,0.03144,1.466,2.75,4.8,404.0,1.186,-2.363
5015,TOI-1685 b,2021,0.6691406,0.011557,1.7,3.09,3.44,1069.0,0.9921631,-1.519
5016,TOI-169 b,2020,2.2554477,0.03524,12.173,251.40353,0.76,1715.0,1.7064,0.253
5017,TOI-1693 b,2022,1.7666957,0.0226,1.41,2.57,5.04,764.0,1.370993,-1.554
5020,TOI-1695 b,2022,3.1342791,0.033548,1.9,6.36,5.0,698.0,1.311,-1.354
5021,TOI-1696 b,2022,2.500311,0.0229,3.09,48.8,9.44,489.0,1.0,-2.148
5022,TOI-1710 b,2022,24.283429,0.16,5.34,28.3,0.94,958.0,5.24,-0.05
5023,TOI-172 b,2019,9.47725,0.0914,10.817,1722.6386,7.53,1198.0,4.7136,0.461
5024,TOI-1728 b,2020,3.49151,0.0391,5.05,26.78,1.14,767.0,1.96,-1.056
5028,TOI-1759 b,2022,18.85019,0.1177,3.14,10.8,1.91,443.0,3.23,-1.057
5029,TOI-178 b,2021,1.914558,0.02607,1.152,1.5,5.4,1040.0,1.692,-0.879
5030,TOI-178 c,2021,3.23845,0.037,1.669,4.77,5.62,873.0,1.95,-0.879
5031,TOI-178 d,2021,6.5577,0.0592,2.572,3.01,0.976,690.0,2.346,-0.879
5032,TOI-178 e,2021,9.961881,0.0783,2.207,3.86,1.98,600.0,2.501,-0.879
5033,TOI-178 f,2021,15.231915,0.1039,2.287,7.72,3.6,521.0,2.348,-0.879
5034,TOI-178 g,2021,20.7095,0.1275,2.87,3.94,0.915,470.0,2.167,-0.879
5035,TOI-1789 b,2021,3.208664,0.04882,16.141,222.47988,0.28,1927.0,2.3,0.736
5037,TOI-1807 b,2021,0.549372,0.00812,1.258,2.57,5.51,2100.0,0.972,-0.671
