pl_name,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist
"Kepler-236 c",2014,"Kepler",0,"23.968127",0.132,2,4.66,"0","329","288.763"
"Kepler-26 d",2014,"Kepler",0,"3.543919",0.039,1.07,1.24,"0","652","335.307"
"Kepler-205 c",2014,"Kepler",0,"20.306546",0.122,1.64,3.33,"0","389","159.72"
"Kepler-18 c",2011,"Kepler",0,"7.64159",0.0752,5.49,17.3,"0","899","433.047"
"KELT-1 b",2012,"KELT",0,"1.217514",0.02466,12.442,8654.15,"0.0099","2233.34613989","268.43"
"HD 89839 b",2023,"Multiple Facilities",0,"3441",4.761,12.9,1592.32032,"0.187",,"57.3063"
"L 98-59 c",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"3.6906745",0.0317,1.34,2.42,"0","517","10.6194"
"Kepler-49 d",2014,"Kepler",0,"2.576549",0.031,1.6,3.19,"0","717","311.222"
"Kepler-18 d",2011,"Kepler",0,"14.85888",0.1172,6.98,16.4,"0","720","433.047"
"Kepler-723 b",2016,"Kepler",0,"4.08227507",0.0479,12.19,,"0","1016","1071.8"
"Qatar-3 b",2017,"Qatar",0,"2.5079204",0.03783,12.285,1369.8473,"0","1681","735.601"
"KMT-2016-BLG-2397L b",2020,"KMTNet",0,,3.64,13.2,836,,,"4880"
"Kepler-1976 b",2023,"Kepler",0,"4.95931924",0.0565,12.21,,"0","1103","1314.51"
"TOI-4406 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"30.08364",0.201,11.209,95.34852,"0.15","904","261.834"
"OGLE-2018-BLG-1119L b",2022,"OGLE",0,,4.06,13.9,289.22385,,,"5760"
"Kepler-1052 b",2016,"Kepler",0,"34.8538276",0.2046,2.93,8.91,"0","522","943.444"
