pl_name,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist
"OGLE-2016-BLG-1227L b",2020,"OGLE",0,,3.4,13.9,250,,,
"Kepler-276 c",2013,"Kepler",0,"31.884",0.1994,2.9,16.6,"0","563","1144.86"
"Kepler-829 b",2016,"Kepler",0,"6.88337562",0.0678,2.11,5.1,"0","857","1073.76"
"K2-283 b",2018,"K2",0,"1.921036",0.0291,3.52,12.2,,"1186","402.915"
"Kepler-477 b",2016,"Kepler",0,"11.11990653",0.0911,2.07,4.94,"0","649","367"
"TOI-1260 c",2021,"Transiting Exoplanet Survey Satellite (TESS)",0,"7.493134",0.0657,2.76,13.2,"0","651","73.5977"
"HD 149143 b",2005,"Haute-Provence Observatory",0,"4.07182",0.053,13.6,422.7139,"0.0167",,"73.2801"
"HD 99492 b",2004,"W. M. Keck Observatory",0,"17.0503",0.12,5.44,25.5,"0.034",,"18.2038"
"nu Oph c",2012,"Okayama Astrophysical Observatory",0,"3180.6",5.829,12,7838.32346,"0.179",,"46.2107"
"75 Cet b",2012,"Okayama Astrophysical Observatory",0,"696.62",1.912,13.3,787.89662,"0.093",,"82.9613"
"gam Lib b",2018,"Okayama Astrophysical Observatory",0,"414.88",1.319,13.7,357.87479,"0.16",,"47.4017"
"HIP 12961 b",2010,"La Silla Observatory",0,"57.435",0.25,13.2,114.4188,"0.17",,"23.371"
"HD 11755 b",2015,"Bohyunsan Optical Astronomical Observatory",0,"433.70001",1.09,12.8,1789.3829,"0.19",,"235.045"
"HD 29985 b",2022,"Multiple Observatories",0,"20608.14049",13.39,12.8,1739.47487,"0.261",,"31.2707"
"HD 115954 b",2021,"Haute-Provence Observatory",0,"3700",5,12.6,2685.65004,"0.487","144.9","87.6437"
"HIP 97233 b",2014,"Multiple Observatories",0,"1062.26506",2.491,12.1,6098.17365,"0.63",,"102.275"
"HD 95872 b",2015,"Multiple Facilities",0,"4375",5.15,13,1188.6842,"0.06",,"72.2195"
"OGLE-2015-BLG-0966L b",2016,"OGLE",0,,2.7,4.86,21,,,"3300"
"WASP-49 b",2012,"SuperWASP",0,"2.78174",0.0379,12.442,117.5971,"0","1400","194.553"
"WASP-56 b",2012,"SuperWASP",0,"4.6171",0.05614,10.536,143.0235,"0","1216","321.084"
"WASP-47 c",2015,"La Silla Observatory",0,"588.8",1.393,13.5,500,"0.295","247","264.78"
"TOI-1470 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"2.527093",0.0285,2.18,7.32,"0.3","734","51.9503"
"V1298 Tau b",2019,"K2",0,"24.1396",0.1688,10.27,203.41018,"0.29","677","108.199"
"HD 22946 d",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"47.42489",0.2958,2.607,26.57,,"546","62.7792"
"HAT-P-23 b",2010,"HATNet",0,"1.212884",0.0232,15.334,664.237,"0.106","2056","364.813"
"tau Cet e",2017,"Multiple Observatories",0,"162.87",0.538,1.81,3.93,"0.18",,"3.60304"
"K2-254 c",2018,"K2",0,"12.11839",0.0923,2.19,5.43,,"551","227.775"
"EPIC 220554210 c",2019,"K2",0,"0.70531",,1.6,3.19,,,"496.289"
"NSVS 14256825 b",2019,"Multiple Observatories",0,"3225",3.12,12.3,4497.2945,"0.12",,"820.877"
"Kepler-1390 b",2016,"Kepler",0,"6.48021673",0.0662,1.18,1.76,"0","934","723.431"
"Kepler-393 c",2014,"Kepler",0,"14.613612",0.124,1.33,2.33,"0","901","881.404"
"Kepler-263 c",2014,"Kepler",0,"47.332773",0.242,2.47,6.66,"0","386","754.747"
"Kepler-1431 b",2016,"Kepler",0,"5.86601526",0.0648,1.47,2.76,"0","1064","1623.24"
"Kepler-237 c",2014,"Kepler",0,"8.103636",0.071,2.08,4.98,"0","687","657.822"
"Kepler-1510 b",2016,"Kepler",0,"84.703921",0.4089,3.36,11.2,"0","537","1696.25"
"Kepler-169 e",2014,"Kepler",0,"13.767102",0.105,2.2,5.48,"0","595","406.529"
"Kepler-145 c",2013,"Kepler",0,"42.882",0.2578,4.32,79.4,"0.11","709","566.85"
"Kepler-219 c",2014,"Kepler",0,"22.714613",0.165,3.58,12.5,"0","766","787.07"
"Kepler-910 b",2016,"Kepler",0,"2.36436901",0.0382,0.82,0.477,"0","1752","400.289"
"Kepler-1037 b",2016,"Kepler",0,"1.06378867",0.0198,1.28,2.18,"0","1650","446.914"
"Kepler-992 b",2016,"Kepler",0,"20.16034462",0.1339,1.62,3.26,"0","510","259.639"
"Kepler-113 b",2014,"Kepler",0,"4.754",0.0502,1.82,11.7,"0","775","262.351"
"Kepler-1097 b",2016,"Kepler",0,"187.747029",0.5791,3.26,10.7,"0","267","719.802"
"Kepler-382 b",2014,"Kepler",0,"5.262155",0.055,1.32,2.3,"0","1166","935.446"
"Kepler-1310 b",2016,"Kepler",0,"0.67933627",0.0148,1.44,2.67,"0","1883","569.185"
"42 Dra b",2008,"Thueringer Landessternwarte Tautenburg",0,"479.1",1.19,13,1233.13,"0.38",,"90.6545"
"61 Vir c",2009,"Multiple Observatories",0,"38.021",0.2175,4.46,18.2,"0.14",,"8.50332"
"Kepler-57 b",2012,"Kepler",0,"5.7293196",0.06,2.19,115,"0","850","644.14"
"70 Vir b",1996,"Lick Observatory",0,"116.688",0.481,12.6,2380.45,"0.3988",,"17.9011"
"Kepler-255 c",2014,"Kepler",0,"9.946047",0.092,2.99,9.22,"0","807","1052.53"
"K2-111 c",2020,"Multiple Observatories",0,"15.6805",0.11569,3.33,11.08,"0.071",,"200.394"
"Kepler-107 d",2014,"Kepler",0,"7.95839",0.08377,0.86,7.7,"0.11","1173","525.997"
"LP 791-18 d",2023,"Spitzer Space Telescope",0,"2.753436",0.01992,1.032,0.9,"0.0015","395.5","26.4927"
"KMT-2016-BLG-2605L b",2021,"KMTNet",0,,0.681,14,245.0457,,,"6421"
"Kepler-52 c",2012,"Kepler",0,"16.3850021",0.10379,1.84,45.4,"0","433","321.542"
"Kepler-248 b",2014,"Kepler",0,"6.308205",0.066,3.02,9.38,"0","819","738.792"
"24 Sex b",2010,"Lick Observatory",0,"452.8",1.333,13.4,632.46,"0.09",,"72.0691"
"24 Sex c",2010,"Lick Observatory",0,"883",2.08,13.9,273.32,"0.29",,"72.0691"
"TOI-1937 A b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"0.94667944",0.01932,13.978,638.8351,"0","2097","415.135"
"K2-174 b",2018,"K2",0,"19.562307",0.126,2.6,7.27,,"455","99.9293"
"K2-216 b",2018,"K2",0,"2.1748",0.028,1.75,8,"0","1103","115.461"
"DENIS-P J082303.1-491201 b",2013,"Paranal Observatory",0,"246.36",0.36,11.9,9057.77,"0.345",,"20.77"
"HIP 63242 b",2013,"Multiple Observatories",0,"124.6",0.565,12.5,2917.56,"0.23",,"156.456"
"GJ 504 b",2013,"Subaru Telescope",0,,43.5,13,1271.3,,"510","17.5299"
"2MASS J01225093-2439505 b",2013,"W. M. Keck Observatory",0,,52,11.209,7786.5,,"1600","33.8281"
"RR Cae b",2012,"Leoncito Astronomical Complex",0,"4343.5",5.3,13,1334.886,"0",,"21.1916"
"HAT-P-68 b",2020,"HATNet",0,"2.29840551",0.02996,12.016,230.10892,"0.041","1027.8","202.152"
"2MASS J19383260+4603591 b",2015,"Kepler",0,"406",0.92,13.4,603.877,"0.33",,"396.332"
"HAT-P-70 b",2019,"HATNet",0,"2.74432452",0.04739,20.961,2154.8874,"0","2562","330.739"
"WASP-169 b",2019,"WASP-South",0,"5.6114118",0.0681,14.617,178.30263,"0","1604","627.066"
"Kepler-25 b",2011,"Kepler",0,"6.238297",0.0685,2.748,8.7,"0.0029","1185","243.249"
"Kepler-10 d",2023,"Roque de los Muchachos Observatory",0,"151.04",0.5379,3.61,12.68,"0.26",,"185.506"
"Kepler-20 e",2011,"Kepler",0,"6.0984882",0.0637,0.821,0.76,"0.092","1004","282.563"
"Kepler-32 f",2012,"Kepler",0,"0.74296",0.013,0.82,0.477,"0","1026","323.847"
"K2-317 b",2020,"K2",0,"6.22",0.0542,2.93,8.91,,"432","176.291"
"HD 188641 b",2022,"Multiple Observatories",0,"14583.81038",12.027,11.9,9333.03117,"0.034",,"64.3399"
"Kepler-102 b",2014,"Kepler",0,"5.286965",0.05521,0.46,1.1,"0.1","857","107.796"
"TOI-2000 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"3.09833",0.04271,2.7,11,"0","1488","175.713"
"Kepler-20 d",2011,"Kepler",0,"77.611455",0.3474,2.606,13.4,"0.082","430","282.563"
"TOI-2096 c",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"6.38784",0.04,1.914,4.32,"0.1","349","48.4809"
"TOI-3807 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"2.8989727",0.0421,18.495,330.54154,"0","1646","421.745"
"Kepler-423 b",2014,"Kepler",0,"2.6843285",0.03585,13.361,189.101,"0.019","1605","758.753"
"Kepler-411 d",2018,"Kepler",0,"58.02035",0.279,3.319,15.2,"0.128","410","153.676"
"TOI-1075 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"0.6047328",0.01159,1.791,9.95,"0","1323","61.4592"
"HATS-15 b",2016,"HATSouth",0,"1.74748753",0.02712,12.386,689.6911,"0.126","1505","1139.55"
"GJ 3341 b",2015,"La Silla Observatory",0,"14.207",0.089,2.46,6.6,"0.31",,"23.619"
"GJ 581 b",2005,"La Silla Observatory",0,"5.3686",0.04061,4.11,15.8,"0",,"6.2981"
"G 264-012 b",2021,"Calar Alto Observatory",0,"2.30538",0.02279,1.39,2.5,,"587","16.009"
"EPIC 201833600 c",2019,"K2",0,"3.96151",,1,0.972,,,"257.443"
"EPIC 249893012 b",2020,"K2",0,"3.5951",0.047,1.95,8.75,"0.06","1616","321.296"
"EPIC 249893012 c",2020,"K2",0,"15.624",0.13,3.67,14.67,"0.07","990","321.296"
"GJ 3293 d",2017,"La Silla Observatory",0,"48.1345",0.19394,2.67,7.6,"0.12",,"20.1903"
"GJ 3998 c",2016,"Roque de los Muchachos Observatory",0,"13.74",0.089,2.38,6.26,"0.049",,"18.1459"
"BD-08 2823 b",2009,"La Silla Observatory",0,"5.6",0.06,3.61,12.7132,"0.15",,"41.3342"
"BD-10 3166 b",2000,"W. M. Keck Observatory",0,"3.48777",0.04,14.1,187.5197,"0.02",,"84.4069"
"GJ 720 A b",2021,"Roque de los Muchachos Observatory",0,"19.466",0.119,3.77,13.64,"0.12","401","15.5575"
"BD-13 2130 b",2007,"La Silla Observatory",0,"714.29999",1.66,12.5,3108.3774,"0.21",,"925.214"
"HD 215152 d",2018,"La Silla Observatory",0,"10.86499",0.08799,1.48,2.801,"0",,"21.5974"
"AB Pic b",2005,"Paranal Observatory",0,,260,12.3,4290.5,,,"50.0475"
"CoRoT-7 d",2022,"La Silla Observatory",0,"8.966",,4.31,17.142,,,"159.906"
"K2-319 b",2020,"K2",0,"26.68",0.1516,2.79,8.2,,"641","209.071"
"K2-323 b",2020,"K2",0,"24.93",0.1275,2.1,5.06,,"318","118.318"
"KMT-2021-BLG-1105L b",2023,"KMTNet",0,,3.54,13.6,413.17693,,,"4540"
"HAT-P-37 b",2011,"HATNet",0,"2.797436",0.0379,13.204,371.528,"0.058","1271","390.594"
"KELT-12 b",2017,"KELT-North",0,"5.031623",0.06708,19.952,301.9385,"0","1800","368.03"
"OGLE2-TR-L9 b",2008,"OGLE",0,"2.4855335",0.0308,18.046,1430.175,,"2034","1627.63"
"GJ 229 b",2014,"Multiple Observatories",0,"579.47495",1.086,3.97,14.93794,"0.404",,"5.75624"
"HD 105618 c",2022,"Multiple Observatories",0,"77114.07158",35.731,11.9,8419.59233,"0.126",,"70.0837"
"TOI-2641 b",2023,"Transiting Exoplanet Survey Satellite (TESS)",0,"4.880974",0.0607,18.103,122.68177,"0.18","1387","344.045"
"WASP-107 b",2017,"SuperWASP-South",0,"5.7214742",0.055,10.536,30.5,"0.06","736","64.7414"
"WASP-101 b",2014,"SuperWASP",0,"3.58572",0.05057,16.029,162.0933,"0","1560","201.224"
"HD 5608 b",2012,"Okayama Astrophysical Observatory",0,"768.7",1.79,13.7,371.22358,"0.11",,"58.1105"
"TRAPPIST-1 h",2017,"Multiple Observatories",0,"18.772866",0.06189,0.755,0.326,"0.00567","171.7","12.4298888"
"HD 189733 b",2005,"Haute-Provence Observatory",0,"2.21857567",0.03126,12.666,359.1479,"0","1209","19.7638"
"WASP-104 b",2014,"SuperWASP",0,"1.7554137",0.02918,12.745,404.263,"0","1516","185.932"
"WASP-19 b",2009,"SuperWASP",0,"0.78883852",0.01652,15.861,366.77398,"0.0126","2113","268.325"
"K2-318 b",2020,"K2",0,"7.01",0.0911,1.66,3.39,,"456","147.866"
"Kepler-1491 c",2023,"Kepler",0,"61.569765",0.3045,2.44,6.53,"0","530","2065.59"
"Kepler-1979 b",2023,"Kepler",0,"18.5084526",0.1383,29.33,79500,"0","683","1076.27"
"WASP-6 b",2009,"SuperWASP",0,"3.36101",0.04217,11.545,117.5971,"0.05","1184","197.119"
"TOI-150.01",2019,"Transiting Exoplanet Survey Satellite (TESS)",0,"5.857487",0.07037,14.067,797.7533,"0.262","1404.5","336.267"
"CFBDSIR J145829+101343 b",2011,"W. M. Keck Observatory",0,"10037.5",2.6,12.4,3337.1,,"370","23.1"
"CoRoT-14 b",2010,"CoRoT",0,"1.51214",0.027,12.22,2415.4,"0","1952","1744.6"
"EPIC 206024342 b",2019,"K2",0,"4.50756",,1.7,3.53,,,"369.888"
"EPIC 201427007 b",2021,"K2",0,"0.72091",,1.5,2.86,,,"706.391"
"EPIC 206215704 b",2019,"K2",0,"2.255436",,1,0.972,,,"109.888"
"EPIC 212297394 b",2019,"K2",0,"2.289363",,1.48,2.79,,"1149","418.395"
"EPIC 212499991 b",2019,"K2",0,"34.885",,1.6,3.19,,,"283.29"
"EPIC 212737443 c",2019,"K2",0,"65.55",0.28,2.69,7.7,"0.2","316","336.25"
"GJ 180 c",2014,"Multiple Observatories",0,"24.329",0.129,2.41,6.4,"0.09",,"11.9407"
"HD 136118 b",2022,"Multiple Observatories",0,"1187.59765",2.327,12.3,4164.18779,"0.344",,"51.4359"
"HD 153557 b",2022,"Multiple Observatories",0,"7.29903",0.068,4.77,20.34102,"0.065",,"17.9412"
"HD 155918 b",2022,"Multiple Observatories",0,"1.87567",0.03,2.67,7.62788,"0.194",,"27.561"
"HD 156098 b",2022,"Multiple Observatories",0,"21.85849",0.167,4.12,15.89142,"0.109",,"48.249"
"GJ 3138 d",2017,"La Silla Observatory",0,"257.8",0.698,3.23,10.5,"0.32",,"28.4712"
"HD 134060 c",2019,"La Silla Observatory",0,"1291.5646",2.3928,5.91,29.29,"0.11",,"24.0125"
"K2-98 b",2016,"K2",0,"10.136448",0.0974,5.2,32.2,"0","1092","518.625"
"GJ 433 b",2011,"La Silla Observatory",0,"7.3705",0.062,2.33,6.043,"0.04",,"9.06456"
"GJ 433 d",2020,"Multiple Facilities",0,"36.059",0.178,2.14,5.223,"0.07",,"9.06456"
"CoRoT-30 b",2020,"CoRoT",0,"9.06005",0.0844,11.31,921.707,"0.007",,"1032.23"
"OGLE-2018-BLG-0532L b",2020,"OGLE",0,,1.064,2.37,6.228,,,"773"
"OGLE-2018-BLG-0383L b",2022,"OGLE",0,,1.8,2.41,6.4,,,"7700"
"KMT-2021-BLG-0322L b",2021,"KMTNet",0,,,12.7,2034.1018,,,"6600"
"HATS-12 b",2016,"HATSouth",0,"3.142702",0.0441,7.76,759.6137,"0.085","1446","746.138"
"HD 10180 d",2010,"La Silla Observatory",0,"16.357",0.12859,3.45,11.75,"0.131",,"38.9607"
"HD 102272 b",2008,"McDonald Observatory",0,"127.58",0.51,12.9,1570.0802,"0.05",,"347.097"
"HD 42618 b",2016,"Multiple Observatories",0,"149.61",0.554,3.89,14.4,"0.19","337","24.3358"
"OGLE-2018-BLG-0962L b",2021,"OGLE",0,,3.59,13.6,425.89007,,,"6500"
"HD 110014 b",2009,"La Silla Observatory",0,"835.477",2.14,12.4,3524.59,"0.462",,"100.758"
"HD 131496 b",2011,"W. M. Keck Observatory",0,"896",2.01,13.4,572.094,"0.181",,"131.849"
"BD-17 63 b",2008,"La Silla Observatory",0,"655.6",1.34,12.8,1620.9,"0.54",,"34.4603"
"TOI-1842 b",2021,"Transiting Exoplanet Survey Satellite (TESS)",0,"9.5739",0.1001,11.657,68.01528,,"1208","223.465"
"EPIC 201754305 d",2019,"K2",0,"2.71578",,1.03,1.08,,,"334.967"
"EPIC 201841433 b",2019,"K2",0,"4.1698",0.035,1.04,1.12,,,"436.488"
"HD 37605 b",2004,"McDonald Observatory",0,"55.01292",0.277,13.2,854.9627,"0.6745",,"46.7864"
"HD 40307 d",2009,"La Silla Observatory",0,"20.432",0.1321,3.04,9.5,"0.07","541","12.9363"
"HD 75289 b",1999,"La Silla Observatory",0,"3.50927",0.05,14.2,155.7367,"0.03","1260","29.1158"
"HD 73526 c",2005,"Anglo-Australian Telescope",0,"379.1",1.03,13.3,715.09,"0.28",,"97.2396"
"HD 46375 b",2000,"W. M. Keck Observatory",0,"3.023573",0.0398,10,71.8,"0.063",,"29.5529"
"HD 7924 c",2015,"W. M. Keck Observatory",0,"15.299",0.1134,2.72,7.86,"0.098","583.6","16.9922"
"G 264-012 c",2021,"Calar Alto Observatory",0,"8.0518",0.0525,1.76,3.75,,"387","16.009"
"HD 23127 b",2006,"Anglo-Australian Telescope",0,"1211.17",2.37,13.5,485.32641,"0.406",,"93.8555"
"HD 233832 b",2018,"Roque de los Muchachos Observatory",0,"2058",2.827,13.5,565.7374,"0.359",,"58.742"
"HD 238090 b",2020,"Multiple Observatories",0,"13.671",0.0932,2.52,6.89,"0.3","469.6","15.2354"
"HD 30856 b",2011,"W. M. Keck Observatory",0,"847",1.85,13.5,491.68301,"0.061",,"131.199"
"HD 212301 b",2005,"La Silla Observatory",0,"2.24571",0.03,14.2,162.0933,"0",,"54.2304"
"HD 196050 b",2002,"Anglo-Australian Telescope",0,"1392",2.65,12.9,1493.79351,"0.2",,"50.6742"
"HD 215497 c",2009,"La Silla Observatory",0,"566",1.31,13,111.23994,"0.47",,"40.5468"
"HD 28254 b",2010,"La Silla Observatory",0,"1333",2.45,13,1207.74795,"0.95",,"55.2884"
"HIP 29442 c",2023,"Paranal Observatory",0,"3.53796",0.0436,1.58,4.5,,"1217","68.192"
"TOI-2202 c",2021,"Multiple Observatories",0,"24.6744",0.15544,13.4,117.27868,"0.0622",,"235.933"
"K2-60 b",2016,"K2",0,"3.00265",0.045,7.656,135.39558,"0","1400","491.87"
"DMPP-3 A b",2019,"La Silla Observatory",0,"6.6732",0.0662,1.41,2.58,"0.14","854","45.23"
"HATS-77 b",2021,"HATSouth",0,"3.0876262",0.03607,13.058,436.69623,"0.045","828.3","436.176"
"Kepler-167 c",2014,"Kepler",0,"7.406106",0.0684,1.674,3.44,"0","771","341.908"
"HD 13808 b",2021,"La Silla Observatory",0,"14.1815",0.10519,3.35,11.2,"0.071",,"28.2305"
"HD 4208 b",2001,"W. M. Keck Observatory",0,"832.97",1.662,13.9,257.4423,"0.042",,"34.1937"
"Kepler-104 d",2014,"Kepler",0,"51.755394",0.257,3.58,12.5,"0","515","400.785"
"Kepler-20 f",2011,"Kepler",0,"19.578328",0.1387,0.952,1.4,"0.094","681","282.563"
"Kepler-37 d",2013,"Kepler",0,"39.7922622",0.2109,2.03,2,"0.1","499","63.9207"
"Kepler-62 b",2013,"Kepler",0,"5.714932",0.0553,1.31,9,"0","750","300.874"
"TrES-1 b",2004,"TrES",0,"3.03007",0.03925,12.666,266.9772,"0","1140","159.658"
"nu Oct A b",2016,"University of Canterbury Mt John Observatory",1,"417",1.25,13.3,762.78818,"0.11",,"21.1999"
"HD 69830 b",2006,"La Silla Observatory",0,"8.667",0.0785,3.17,10.2,"0.1",,"12.5591"
"HD 180053 b",2018,"W. M. Keck Observatory",0,"213.72",0.843,13.3,697.31902,"0.081",,"137.043"
"WTS-2 b",2014,"United Kingdom Infrared Telescope",0,"1.0187068",0.01855,15.278,355.9696,"0","2000","1030.7683444"
"WASP-92 b",2016,"SuperWASP",0,"2.1746742",0.0348,16.376,255.85315,"0","1871","575.889"
"TOI-1272 c",2022,"W. M. Keck Observatory",0,"8.689",0.0783,5.59,26.7,"0.35","697","137.572"
"TOI-1288 c",2022,"Multiple Observatories",0,"443",,11,84,"0.13",,"114.865"
"Kepler-134 c",2014,"Kepler",0,"10.105785",0.092,1.26,2.13,"0","892","334.797"
"TOI-1669 b",2023,"W. M. Keck Observatory",0,"502",,14.1,182.11568,"0.14",,"111.276"
"TOI-3540 A b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"3.119999",0.04289,23.539,375.03752,"0","1498",
"HD 181342 b",2009,"W. M. Keck Observatory",0,"564.1",1.592,13.2,807.2882,"0.022",,"120.391"
"HD 181433 b",2008,"La Silla Observatory",0,"9.3743",0.08,2.4,6.3566,"0.4",,"26.8762"
"HD 187123 c",2008,"W. M. Keck Observatory",0,"3810",4.89,13.4,632.46,"0.252",,"45.9548"
"K2-291 b",2019,"K2",0,"2.225177",0.03261,1.589,6.49,"0","1301","90.0562"
"HD 125612 b",2007,"W. M. Keck Observatory",0,"557.69994",1.349,13.2,945.22168,"0.446",,"57.6207"
"XO-1 b",2006,"XO",0,"3.94153",0.0488,12.778,263.7989,"0","1210","163.553"
"WASP-46 b",2011,"SuperWASP",0,"1.43036763",0.02335,13.159,607.0553,"0.022","1636","375.31"
"K2-3 c",2015,"K2",0,"24.646729",0.1357,1.582,2.68,"0.048","371.8","44.0727"
"KELT-3 b",2013,"KELT",0,"2.70339",0.04123,17.486,616.5902,"0","1816","210.252"
"HD 205739 b",2008,"Las Campanas Observatory",0,"279.8",0.896,13.6,435.41,"0.27",,"92.5087"
"HD 20868 b",2008,"La Silla Observatory",0,"380.85001",0.95,13.7,397.2875,"0.75",,"47.7223"
"HD 211810 b",2018,"W. M. Keck Observatory",0,"1558",2.656,14,212.9461,"0.68",,"64.6353"
"Kepler-165 c",2014,"Kepler",0,"15.31299",0.11,2.23,5.6,"0","581","560.885"
"Kepler-197 d",2014,"Kepler",0,"15.677563",0.119,1.22,1.98,"0.03","810","330.575"
"4 UMa b",2006,"Thueringer Landessternwarte Tautenburg",0,"270.27",0.877,12.6,2511.48007,"0.453",,"73.4603"
"HD 21411 b",2019,"Las Campanas Observatory",0,"84.288",0.362,9.52,65.9,"0.4",,"29.1328"
"HD 73526 b",2002,"Anglo-Australian Telescope",0,"188.3",0.65,13.1,978.9164,"0.19",,"97.2396"
"HD 73534 b",2008,"W. M. Keck Observatory",0,"1750",2.99,13.7,353.42696,"0.126",,"83.3321"
"GJ 411 b",2019,"Haute-Provence Observatory",0,"12.9394",0.07879,1.45,2.69,"0.063","349.83","5.675773"
"GJ 687 b",2014,"Lick Observatory",0,"38.142",0.163,4.32,17.2,"0.17",,"4.54939"
"GJ 887 b",2020,"La Silla Observatory",0,"9.262",0.068,1.88,4.2,"0","468","3.29"
"HD 64114 b",2019,"Las Campanas Observatory",0,"45.791",0.246,4.41,17.8,"0.12",,"31.5262"
"HD 220842 b",2016,"Haute-Provence Observatory",0,"218.47",0.74,13.1,1010.6994,"0.404",,"64.6498"
"HD 221585 b",2016,"Haute-Provence Observatory",0,"1173",2.306,13.5,511.7063,"0.123",,"55.8535"
"HD 238914 b",2018,"Multiple Observatories",0,"4100",5.7,12.8,1906.98,"0.56",,"519.452"
"HD 76920 b",2017,"Multiple Observatories",0,"415.4",1.149,13,1249.0719,"0.856",,"184.031"
"HD 20781 b",2019,"La Silla Observatory",0,"5.3135",0.0529,1.21,1.93,"0.1",,"35.9715"
"HD 67087 c",2015,"Multiple Observatories",0,"2374",3.86,12.9,1540,"0.76",,"76.5217"
"HD 65216 c",2013,"La Silla Observatory",0,"5370",5.75,13.4,645.1949,"0.17",,"35.1205"
"HD 290327 b",2009,"La Silla Observatory",0,"2443",3.43,13.3,772.3269,"0.08",,"56.433"
"HD 151450 b",2022,"Multiple Observatories",0,"21.89288",0.16,6.94,38.45724,"0.496",,"43.6002"
"HD 4313 b",2009,"W. M. Keck Observatory",0,"356.21",1.157,13.4,612.45841,"0.147",,"136.308"
"HD 330075 b",2004,"La Silla Observatory",0,"3.38773",0.04,14.3,152.5584,"0","990","45.2989"
"HD 31253 b",2010,"W. M. Keck Observatory",0,"466",1.26,14.1,197.0546,"0.3",,"58.1438"
"HD 31527 b",2019,"La Silla Observatory",0,"16.5535",0.1254,3.22,10.47,"0.1",,"38.4473"
"HIP 65 A b",2020,"Transiting Exoplanet Survey Satellite (TESS)",0,"0.9809734",0.01782,22.754,1021.18779,"0","1411","61.7856"
"MASCARA-1 b",2017,"Multiple Observatories",0,"2.14877381",0.040352,17.901,1175.971,"0.00034","2594.3","182.273"
"HD 206893 b",2021,"Gemini Observatory",0,"9350",9.6,14.011,8899.1954,"0.14","1429.2","40.7583"
"TOI-1338 c",2023,"Multiple Observatories",0,"215.5",0.794,9.46,65.2,"0.16",,"399.017"
"KELT-8 b",2015,"KELT",0,"3.24406",0.0455,18.159,209.7678,"0.04","1675","197.572"
"WASP-153 b",2017,"SuperWASP",0,"3.332609",0.048,17.374,123.9537,"0.009","1700","610.176"
"HD 158259 f",2020,"Haute-Provence Observatory",0,"12.028",,2.35,6.14,,,"27.0498"
"TOI-3693 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"9.088516",0.0813,12.599,324.18498,"0","801","176.436"
"NGTS-24 b",2022,"Next-Generation Transit Survey (NGTS)",0,"3.4678796",0.0479,13.608,165.27077,"0","1499","683.062"
"LP 890-9 c",2022,"SPECULOOS Southern Observatory",0,"8.457463",0.03984,1.367,25.3,,"272","32.4298"
"Kepler-134 b",2014,"Kepler",0,"5.317429",0.06,2,4.66,"0","1105","334.797"
"TOI-1136 b",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"4.17278",,1.9,4.27,"0.031",,"84.5362"
"TOI-1136 g",2022,"Transiting Exoplanet Survey Satellite (TESS)",0,"39.5387",,2.53,6.94,"0.036",,"84.5362"
"K2-219 b",2018,"K2",0,"3.901287",,1.348,2.38,,,"325.4"
"HD 40307 b",2009,"La Silla Observatory",0,"4.3123",0.0468,1.83,4,"0.2","910","12.9363"
"HATS-70 b",2019,"HATSouth",0,"1.8882378",0.03632,15.513,4100.007,"0.18","2730","1458.83"
"HAT-P-61 b",2021,"HATNet",0,"1.90231289",0.0301,10.077,335.94463,"0.113","1505","338.84"
"HD 158259 b",2020,"Haute-Provence Observatory",0,"2.178",,1.285,2.22,,"1482","27.0498"
"HAT-P-38 b",2012,"HATNet",0,"4.640382",0.0523,9.247,84.857,"0.067","1082","255.206"
"HD 12661 b",2000,"Multiple Observatories",0,"262.70862",0.84,13.3,772.3269,"0.38",,"37.8478"
"HD 4203 b",2001,"W. M. Keck Observatory",0,"431.88",1.17,13.3,708.7609,"0.52",,"81.3795"
"HATS-7 b",2015,"HATSouth",0,"3.185315",0.04012,6.311,38.1396,"0.17","1084","240.707"
"CoRoT-13 b",2010,"CoRoT",0,"4.03519",0.051,9.92,415.704,"0","1700","1148.93"
"Kepler-37 e",2014,"Kepler",0,"51.196",0.246,0.37,0.0275,"0","401","63.9207"
"Kepler-716 b",2016,"Kepler",0,"10.37168453",0.0873,2.9,8.75,"0","720","635.009"
"HD 122562 c",2022,"Multiple Observatories",0,"84.96276",0.406,10.1,73.10053,"0.228",,"53.2528"
"Kepler-773 b",2016,"Kepler",0,"3.74910006",0.047,1.43,2.63,"0","1160","547.026"
